Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
8.4819569, 76.9196331;Thiruvananthapuram International Airport;Thiruvananthapuram International Airport;;TRV;VOTV;en:Trivandrum International Airport;Q1466205;https://www.adani.com/thiruvananthapuram-airport;;;;https://www.openstreetmap.org/edit?node=22826670;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""int_name"": ""Trivandrum Airport"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u062b\u064a\u0631\u0648\u0641\u0627\u0646\u0627\u0646\u062b\u0627\u0628\u0648\u0631\u0627\u0645 \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:he"": ""\u05e9\u05d3\u05d4 \u05ea\u05e2\u05d5\u05e4\u05d4 \u05d1\u05d9\u05e0\u05dc\u05d0\u05d5\u05de\u05d9 \u05ea\u05d9\u05e8\u05d5\u05d0\u05d5\u05d5\u05e0\u05ea\u05d0\u05e0\u05d8\u05e4\u05d5\u05e8\u05dd"", ""name:hi"": ""\u0924\u093f\u0930\u0941\u0935\u0928\u0902\u0924\u092a\u0941\u0930\u092e \u0905\u0902\u0924\u0930\u094d\u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f \u0935\u093f\u092e\u093e\u0928\u0915\u094d\u0937\u0947\u0924\u094d\u0930"", ""name:kn"": ""\u0ca4\u0cbf\u0cb0\u0cc1\u0cb5\u0ca8\u0c82\u0ca4\u0caa\u0cc1\u0cb0\u0c82 \u0c85\u0c82\u0ca4\u0cb0\u0cbe\u0cb7\u0ccd\u0c9f\u0ccd\u0cb0\u0cc0\u0caf \u0cb5\u0cbf\u0cae\u0cbe\u0ca8 \u0ca8\u0cbf\u0cb2\u0ccd\u0ca6\u0cbe\u0ca3"", ""name:ml"": ""\u0d24\u0d3f\u0d30\u0d41\u0d35\u0d28\u0d28\u0d4d\u0d24\u0d2a\u0d41\u0d30\u0d02 \u0d05\u0d28\u0d4d\u0d24\u0d3e\u0d30\u0d3e\u0d37\u0d4d\u0d1f\u0d4d\u0d30 \u0d35\u0d3f\u0d2e\u0d3e\u0d28\u0d24\u0d4d\u0d24\u0d3e\u0d35\u0d33\u0d02"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0422\u0440\u0438\u0432\u0430\u043d\u0434\u0440\u0430\u043c"", ""name:ta"": ""\u0ba4\u0bbf\u0bb0\u0bc1\u0bb5\u0ba9\u0ba8\u0bcd\u0ba4\u0baa\u0bc1\u0bb0\u0bae\u0bcd \u0baa\u0ba9\u0bcd\u0ba9\u0bbe\u0b9f\u0bcd\u0b9f\u0bc1 \u0bb5\u0bbe\u0ba9\u0bc2\u0bb0\u0bcd\u0ba4\u0bbf \u0ba8\u0bbf\u0bb2\u0bc8\u0baf\u0bae\u0bcd"", ""name:zh"": ""\u7279\u91cc\u51e1\u5f97\u7405\u56fd\u9645\u673a\u573a"", ""ref"": ""TRV""}";India;IN
17.9359078, -76.7840336;Norman Manley International Airport;;;KIN;MKJP;;Q1432206;;;NMIA Airports Limited;;https://www.openstreetmap.org/edit?node=22888427;wikipedia;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""3"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0646\u0648\u0631\u0645\u0627\u0646 \u0645\u0627\u0646\u0644\u064a \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:de"": ""Flughafen Norman Manley International"", ""name:es"": ""Aeropuerto Internacional Norman Manley"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0628\u06cc\u0646\u200c\u0627\u0644\u0645\u0644\u0644\u06cc \u0646\u0648\u0631\u0645\u0646 \u0645\u0627\u0646\u0644\u06cc"", ""type"": ""public""}";Jamaica;JM
43.3791392, -0.4201974;Aéroport de Pau Pyrénées;Pau Pyrénées Airport;;PUF;LFBP;fr:Aéroport Pau-Pyrénées;Q1432335;;+33 5 59 33 33 00;Pau Chamber of Commerce;;https://www.openstreetmap.org/edit?node=23001418;wikipedia;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""188"", ""operator:type"": ""public""}";France;FR
36.2751358, 6.6221427;Aéroport Mohamed Boudiaf - Constantine;Constantine Mohamed Boudifa Airport;Aéroport Mohamed Boudiaf - Constantine;CZL;DABC;fr:Aéroport de Constantine - Mohamed Boudiaf;Q2510194;http://www.egsa-constantine.dz;;Etablissement de Gestion de Services Aéroportuaires;;https://www.openstreetmap.org/edit?node=24593764;IATA,wikipedia,ouraiports.com,Bing;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Constantine, Algeria"", ""ele"": ""34"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0642\u0633\u0646\u0637\u064a\u0646\u0629 \u0645\u062d\u0645\u062f \u0628\u0648\u0636\u064a\u0627\u0641"", ""name:el"": ""\u0394\u03b9\u03b5\u03b8\u03bd\u03ad\u03c2 \u0391\u03b5\u03c1\u03bf\u03b4\u03c1\u03cc\u03bc\u03b9\u03bf \u03c4\u03b7\u03c2 \u039a\u03c9\u03bd\u03c3\u03c4\u03b1\u03bd\u03c4\u03af\u03bd\u03b7\u03c2 \u00ab\u039c\u03bf\u03c7\u03ac\u03bc\u03b5\u03bd\u03c4 \u039c\u03c0\u03bf\u03c5\u03bd\u03c4\u03b9\u03ac\u03c6\u00bb""}";Algeria;DZ
38.6930046, -121.593136;Sacramento International Airport;Sacramento International Airport;;SMF;KSMF;en:Sacramento International Airport;Q1432668;http://www.sacairports.org;;;;https://www.openstreetmap.org/edit?node=25076347;wikipedia;"{""addr:state"": ""CA"", ""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""8"", ""gnis:county_name"": ""Sacramento"", ""gnis:created"": ""03/01/1994"", ""gnis:feature_id"": ""1653907"", ""gnis:feature_type"": ""Airport"", ""owner"": ""Sacramento County, California"", ""ref"": ""SMF"", ""source_ref"": ""geonames.usgs.gov"", ""type"": ""public""}";United States of America;US
45.3966634, 10.8873757;Aeroporto Valerio Catullo di Verona-Villafranca;Verona Villafranca Airport;;VRN;LIPX;en:Verona Villafranca Airport;Q1433197;https://www.aeroportoverona.it/passeggeri_t5/;+39 045 8095666;;;https://www.openstreetmap.org/edit?node=25608623;wikipedia;"{""addr:city"": ""Villafranca di Verona"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""37066"", ""addr:street"": ""Via Aeroporto"", ""aerodrome"": ""international"", ""aerodrome:type"": ""military/public"", ""aeroway"": ""aerodrome"", ""ele"": ""73"", ""layer"": ""-1"", ""local_ref"": ""VR10"", ""name:de"": ""Flughafen Valerio Catullo / Verona-Villafranca"", ""name:it"": ""Aeroporto Valerio Catullo di Verona-Villafranca""}";Italy;IT
42.5702378, 27.5152922;Летище Бургас;Burgas Airport;;BOJ;LBBG;;;http://www.bourgas-airport.com/;;Fraport Twin Star Airport Management;;https://www.openstreetmap.org/edit?node=26166412;;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""name:bg"": ""\u041b\u0435\u0442\u0438\u0449\u0435 \u0411\u0443\u0440\u0433\u0430\u0441"", ""name:de"": ""Flughafen Burgas"", ""type"": ""public""}";Bulgaria;BG
13.4109079, 103.8126787;អាកាសយានដ្ឋាន​អន្តរជាតិ​សៀមរាប;Siem Reap International Airport;Aéroport International de Siem Reap-Angkor;REP;VDSR;en:Siem Reap International Airport;Q1054472;https://rep.cambodia-airports.aero/;+855 (0)63 962 400;Cambodia Airport Management Services;;https://www.openstreetmap.org/edit?node=26749066;wikipedia;"{""abandoned:aeroway"": ""aerodrome"", ""addr:street"": ""\u1795\u17d2\u179b\u17bc\u179c\u1787\u17b6\u178f\u17b7\u179b\u17c1\u1781\u17e6"", ""aerodrome"": ""international"", ""aerodrome:type"": ""military/public"", ""barrier"": ""fence"", ""closest_town"": ""Siem Reap"", ""email"": ""repllxh@cambodia-airports.aero"", ""end_date"": ""2023-10-15"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""is_in"": ""Siem Reap,Cambodia"", ""name:zh"": ""\u66b9\u7c92(Siem Reap)\u56fd\u9645\u673a\u573a""}";Cambodia;KH
12.3501414, -1.51358;Aéroport international de Ouagadougou;Ouagadougou International Airport;;OUA;DFFD;en:Ouagadougou Airport;Q773547;;;;;https://www.openstreetmap.org/edit?node=27798095;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Ouagadougou Airport"", ""ele"": ""316"", ""is_in:iso_3166_2"": ""BF-03"", ""name:de"": ""Internationaler Flughafen Ouagadougou""}";Burkina Faso;BF
47.7934593, 13.0036804;Flughafen Salzburg;Salzburg Airport;;SZG;LOWS;de:Flughafen Salzburg;Q251538;;;Salzburger Flughafen GmbH;;https://www.openstreetmap.org/edit?node=30514270;Geoimage Orthophoto Metadaten Stand 2019;"{""IFR"": ""yes"", ""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Salzburg Airport W. A. Mozart."", ""barrier"": ""fence"", ""closest_town"": ""Salzburg"", ""ele"": ""430"", ""name:de"": ""Flughafen Salzburg"", ""name:eo"": ""Flughaveno Salzburg"", ""name:es"": ""Aeropuerto de Salzburgo"", ""name:fi"": ""Salzburgin lentoasema"", ""name:it"": ""Aeroporto di Salisburgo"", ""name:ja"": ""\u30b6\u30eb\u30c4\u30d6\u30eb\u30af\u7a7a\u6e2f"", ""name:ms"": ""Lapangan Terbang Salzburg"", ""name:nl"": ""Luchthaven Salzburg"", ""name:pl"": ""Port lotniczy Salzburg"", ""name:sl"": ""Letali\u0161\u010de Salzburg"", ""name:sv"": ""Salzburgs flygplats"", ""name:uk"": ""\u0410\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \u0417\u0430\u043b\u044c\u0446\u0431\u0443\u0440\u0433"", ""name:vi"": ""S\u00e2n bay Salzburg"", ""passengers"": ""1800000""}";Austria;AT
51.1342879, 13.7692881;Flughafen Dresden;Dresden Airport;Aéroport de Dresde;DRS;EDDC;de:Flughafen Dresden;Q657005;https://www.dresden-airport.de/;;;;https://www.openstreetmap.org/edit?node=31130888;http://www.dresden-airport.de/Unternehmen/struktur-fakten-personal/kenndaten-statistik.html;"{""addr:city"": ""Dresden"", ""addr:street"": ""Flughafenstra\u00dfe"", ""aerodrome"": ""international"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""cargo_volume"": ""184"", ""closest_town"": ""Dresden, Germany"", ""contact:facebook"": ""https://www.facebook.com/dresdenairport"", ""contact:twitter"": ""https://twitter.com/dresden_airport"", ""contact:youtube"": ""https://www.youtube.com/user/DresdenAirport"", ""ele"": ""221"", ""int_name"": ""Dresden International"", ""name:cs"": ""Leti\u0161t\u011b Dr\u00e1\u017e\u010fany"", ""name:de"": ""Flughafen Dresden"", ""name:es"": ""Aeropuerto de Dresde"", ""passengers"": ""1900000"", ""ref"": ""DRS"", ""wheelchair"": ""yes""}";Germany;DE
49.2165721, 7.1095309;Flughafen Saarbrücken;Saarbrücken Airport;Aéroport de Sarrebruck;SCN;EDDR;de:Flughafen Saarbrücken;Q697101;https://www.flughafen-saarbruecken.de/;;Flug-Hafen-Saarland GmbH;;https://www.openstreetmap.org/edit?node=31283099;wikipedia;"{""access"": ""yes"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""cargo_volume"": ""84"", ""closest_town"": ""Saarbr\u00fccken"", ""ele"": ""322"", ""name:de"": ""Flughafen Saarbr\u00fccken"", ""passengers"": ""467092""}";Germany;DE
21.2188771, 105.8051868;Sân bay quốc tế Nội Bài;Noi Bai International Airport;Aéroport International de Nội Bài;HAN;VVNB;vi:Sân bay quốc tế Nội Bài;Q844098;https://noibaiairport.vn/;;Tổng công ty Cảng hàng không Việt Nam;;https://www.openstreetmap.org/edit?node=37376190;;"{""addr:district"": ""S\u00f3c S\u01a1n"", ""addr:province"": ""H\u00e0 N\u1ed9i"", ""addr:subdistrict"": ""Ph\u00fa Minh"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name:de"": ""Flughafen Hanoi"", ""international_flights"": ""yes"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""internet_access:ssid"": ""@Airport FreeWifi - MegaNet"", ""name:de"": ""Internationale Flughafen N\u1ed9i B\u00e0i"", ""name:hi"": ""\u0928\u0949\u0908 \u092c\u093e\u0908 \u0905\u0902\u0924\u0930\u094d\u0930\u093e\u0937\u094d\u091f\u094d\u0930\u0940\u092f \u0935\u093f\u092e\u093e\u0928\u0915\u094d\u0937\u0947\u0924\u094d\u0930"", ""name:id"": ""Bandara Internasional Noi Bai"", ""name:ja"": ""\u30ce\u30a4\u30d0\u30a4\u56fd\u969b\u7a7a\u6e2f"", ""name:ms"": ""Lapangan Terbang Antarabangsa Noi Bai"", ""name:vi"": ""S\u00e2n bay qu\u1ed1c t\u1ebf N\u1ed9i B\u00e0i"", ""name:zh"": ""\u5185\u6392\u56fd\u9645\u673a\u573a"", ""name:zh-Hans"": ""\u5185\u6392\u56fd\u9645\u673a\u573a"", ""name:zh-Hant"": ""\u5167\u6392\u570b\u969b\u6a5f\u5834"", ""official_name"": ""C\u1ea3ng h\u00e0ng kh\u00f4ng qu\u1ed1c t\u1ebf N\u1ed9i B\u00e0i"", ""ref"": ""HAN"", ""start_date"": ""1965"", ""type"": ""civil"", ""wikimedia_commons"": ""Category:Noi Bai International Airport""}";Vietnam;VN
30.2055312, 71.4196347;ملتان انٹرنیشنل ائیرپورٹ;Multan International Airport;;MUX;OPMT;ur:ملتان بین الاقوامی ہوائی اڈا;Q31569;;;;;https://www.openstreetmap.org/edit?node=38089683;;"{""addr:city"": ""\u0645\u0644\u062a\u0627\u0646"", ""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""\u0645\u0644\u062a\u0627\u0646"", ""ele"": ""122"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""yes"", ""internet_access:ssid"": ""Wateen"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0645\u0644\u062a\u0627\u0646 \u0627\u0644\u062f\u0648\u0644\u064a"", ""name:de"": ""Flughafen Multan"", ""name:es"": ""Aeropuerto Internacional de Mult\u00e1n"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u0628\u06cc\u0646\u200c\u0627\u0644\u0645\u0644\u0644\u06cc \u0645\u0648\u0644\u062a\u0627\u0646"", ""name:pnb"": ""\u0645\u0644\u062a\u0627\u0646 \u0627\u0646\u0679\u0631\u0646\u06cc\u0634\u0646\u0644 \u0627\u06cc\u0626\u0631 \u067e\u0648\u0631\u0679"", ""name:ur"": ""\u0645\u0644\u062a\u0627\u0646 \u0628\u06cc\u0646 \u0627\u0644\u0627\u0642\u0648\u0627\u0645\u06cc \u06c1\u0648\u0627\u0626\u06cc \u0627\u0688\u0627"", ""name:zh"": ""\u6728\u5c14\u5766\u56fd\u9645\u673a\u573a"", ""type"": ""public""}";Pakistan;PK
50.7348674, -3.4136027;Exeter Airport;Exeter Airport;;EXT;EGTE;en:Exeter Airport;Q8999;https://www.exeter-airport.co.uk/;;;;https://www.openstreetmap.org/edit?node=38771012;Gagravarr_Airports;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""31"", ""international_flights"": ""yes"", ""name:pl"": ""Port lotniczy Exeter""}";United Kingdom;GB
38.1769866, 13.1007781;Aeroporto di Palermo Falcone e Borsellino;Palermo International Airport;;PMO;LICJ;it:Aeroporto di Palermo-Punta Raisi;Q630645;;;;;https://www.openstreetmap.org/edit?node=39537616;yahoo_wms,survey;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Aeroporto di Palermo Punta Raisi"", ""ele"": ""20"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""local_ref"": ""PA03"", ""name:de"": ""Flughafen Palermo Punta Raisi"", ""name:it"": ""Aeroporto di Palermo Falcone e Borsellino"", ""name:ru"": ""\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u041f\u0430\u043b\u0435\u0440\u043c\u043e \u041f\u0443\u043d\u0442\u0430 \u0420\u0430\u0439\u0437\u0438"", ""start_date"": ""1960"", ""type"": ""public"", ""wikipedia:en"": ""Palermo_International_Airport""}";Italy;IT
21.6157916, -81.5450102;Aeropuerto Vitalio Acuña;Vitalio Acuña Airport;;CYO;MUCL;en:Vilo Acuña Airport;Q3505324;;;ECASA;;https://www.openstreetmap.org/edit?node=40014046;wikipedia;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Cayo Largo del Sur"", ""ele"": ""3"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0412\u0438\u0442\u0430\u043b\u0438\u043e \u0410\u043a\u0443\u043d\u044c\u0430 (\u041a\u0430\u0439\u043e \u041b\u0430\u0440\u0433\u043e)"", ""type"": ""public""}";Cuba;CU
1.1222496, 104.1193266;Bandar Udara Hang Nadim;Hang Nadim Batam International Airport;;BTH;WIDD;id:Bandar Udara Internasional Hang Nadim;Q780450;;+62 778 761507;Unit Penyelenggara Bandar Udara;;https://www.openstreetmap.org/edit?node=41378380;;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""38"", ""fax"": ""+62 778 761852"", ""ref"": ""BTH""}";Indonesia;ID
